Unnamed: 0,项目编码,项目名称,角色,姓名
539,TZ-2025-GQJJ-000471,新疆哈密50万吨镁冶炼项目,项目成员,宋艺涓
540,TZ-2025-GQJJ-000471,新疆哈密50万吨镁冶炼项目,项目成员,张春成
541,TZ-2023-GD-000354,广东化州平定80MW光伏项目,项目成员,昝晓萌
542,TZ-2023-GD-000354,广东化州平定80MW光伏项目,项目成员,方晨
543,TZ-2023-GD-000354,广东化州平定80MW光伏项目,项目成员,韩雷兴
544,TZ-2023-GD-000354,广东化州平定80MW光伏项目,项目成员,谭双琪
545,TZ-2023-GD-000354,广东化州平定80MW光伏项目,项目成员,李若白
546,TZ-2025-XJ-000469,新疆哈密巴里坤哈萨克自治县500MW风电项目,项目成员,昝晓萌
547,TZ-2025-XJ-000469,新疆哈密巴里坤哈萨克自治县500MW风电项目,项目成员,田扩
548,TZ-2025-XJ-000469,新疆哈密巴里坤哈萨克自治县500MW风电项目,项目成员,靳家佳
549,TZ-2025-XJ-000469,新疆哈密巴里坤哈萨克自治县500MW风电项目,项目成员,宋艺涓
550,TZ-2025-XJ-000469,新疆哈密巴里坤哈萨克自治县500MW风电项目,项目成员,刘曲
551,TZ-2025-XJ-000469,新疆哈密巴里坤哈萨克自治县500MW风电项目,项目成员,史晓兵
552,TZ-2025-XJ-000469,新疆哈密巴里坤哈萨克自治县500MW风电项目,项目成员,谭双琪
553,TZ-2025-XJ-000469,新疆哈密巴里坤哈萨克自治县500MW风电项目,项目成员,方晨
554,TZ-2025-XJ-000469,新疆哈密巴里坤哈萨克自治县500MW风电项目,项目成员,马思远
555,TZ-2025-XJ-000469,新疆哈密巴里坤哈萨克自治县500MW风电项目,项目成员,邢智全
556,TZ-2025-XJ-000469,新疆哈密巴里坤哈萨克自治县500MW风电项目,项目成员,胡玉杰
557,TZ-2025-XJ-000469,新疆哈密巴里坤哈萨克自治县500MW风电项目,项目成员,覃鸿念
558,TZ-2022-SH-000066,上海浦东商飞二期6.4MW分布式光伏项目,项目经理,韩雷兴
559,-,新疆哈密10万吨/年镁冶炼项目配套300MW风电项目,项目经理,曹天骐
560,-,新疆哈密10万吨/年镁冶炼项目配套300MW风电项目,项目经理,刘岩
561,TZ-2025-GQJJ-000471,新疆哈密50万吨镁冶炼项目,项目经理,刘岩
562,TZ-2025-GQJJ-000471,新疆哈密50万吨镁冶炼项目,项目经理(主责),曹天骐
563,-,新疆哈密10万吨/年镁冶炼项目配套300MW风电项目,项目经理(主责),巩思辰
564,TZ-2025-GQJJ-000471,新疆哈密50万吨镁冶炼项目,项目经理,巩思辰
565,TZ-2025-BJST-000489,巴基斯坦俾路支省风光储一体化项目,项目经理,郑雯婷
566,TZ-2025-BJST-000489,巴基斯坦俾路支省风光储一体化项目,项目经理,王阳阳
567,TZ-2023-GD-600095,广东梅州粤智安流镇70MW+横陂镇57MW光伏项目,项目经理,张文睿
568,TZ-2023-GD-000096,广东梅州粤智横陂镇57MW光伏项目,项目经理,张文睿
569,TZ-2023-GD-000095,广东梅州粤智安流镇70MW光伏项目,项目经理,张文睿
570,TZ-2024-XZ-000447,西藏那曲色尼区200MW风电项目,项目经理(主责),周博川
571,TZ-2019-XJ-000009,新疆木垒联合光伏100MW光伏项目,项目经理,斯琴塔娜
572,TZ-2020-XJ-000076,新疆老君庙丝路大成50MW风电项目,项目经理,张凤迪
573,TZ-2017-SH-000036,上海国家会展2.2MW分布式光伏项目,项目经理(主责),周博川
574,TZ-2016-AH-000037,安徽合肥大川40MW光伏项目,项目经理(主责),张凤迪
575,TZ-2020-XJ-000077,新疆老君庙国新天立49.5MW风电项目,项目经理,斯琴塔娜
576,TZ-2023-NX-000241,宁夏知临增资扩股引入战略投资人项目,项目经理(主责),朱茳
577,TZ-2016-SD-600067,山东夏津田庄100MW+新盛100MW风电项目,项目经理(主责),李海燕
578,TZ-2017-SD-000068,山东夏津新盛100MW风电项目（二期）,项目经理(主责),李海燕
579,TZ-2016-SD-000067,山东夏津田庄100MW风电项目（一期）,项目经理(主责),李海燕
580,TZ-2019-SH-000035,上海浦东商飞2MW分布式光伏项目,项目经理(主责),张凤迪
581,TZ-2022-GQJJ-000470,苏州聚晟太阳能科技股份有限公司股权投资项目,项目经理(主责),杜玉博
582,TZ-2025-GQJJ-000477,子公司增资扩股引入战略投资者项目,项目经理(主责),王颢霖
583,TZ-2025-GS-000474,甘肃陇南宕昌51MW水电项目,项目经理(主责),曹天骐
584,TZ-2024-XJ-000408,新疆哈密伊州骆驼圈子15MW分散式风电项目（并购）,项目成员,靳家佳
585,TZ-2024-XJ-000408,新疆哈密伊州骆驼圈子15MW分散式风电项目（并购）,项目成员,柳琳
586,TZ-2025-NM-000459,内蒙古锡林郭勒源网荷储一体化360MW风电项目,项目成员,邹博文
587,TZ-2025-NM-000459,内蒙古锡林郭勒源网荷储一体化360MW风电项目,项目成员,杨雅婷
588,TZ-2025-NM-000459,内蒙古锡林郭勒源网荷储一体化360MW风电项目,项目成员,史丹阳
589,TZ-2025-NM-000459,内蒙古锡林郭勒源网荷储一体化360MW风电项目,项目成员,邢智全
590,TZ-2025-NM-000459,内蒙古锡林郭勒源网荷储一体化360MW风电项目,项目成员,宋艺涓
591,TZ-2025-NM-000459,内蒙古锡林郭勒源网荷储一体化360MW风电项目,项目成员,覃鸿念
592,TZ-2025-NM-000459,内蒙古锡林郭勒源网荷储一体化360MW风电项目,项目成员,史丹阳
593,TZ-2025-NM-000459,内蒙古锡林郭勒源网荷储一体化360MW风电项目,项目成员,邱凯
594,TZ-2025-NM-000459,内蒙古锡林郭勒源网荷储一体化360MW风电项目,项目成员,韩雷兴
595,TZ-2025-NM-000460,内蒙古锡林郭勒源网荷储一体化40MW光伏项目,项目成员,邹博文
596,TZ-2025-NM-000460,内蒙古锡林郭勒源网荷储一体化40MW光伏项目,项目成员,杨雅婷
597,TZ-2025-NM-000460,内蒙古锡林郭勒源网荷储一体化40MW光伏项目,项目成员,史丹阳
598,TZ-2025-NM-000460,内蒙古锡林郭勒源网荷储一体化40MW光伏项目,项目成员,邢智全
599,TZ-2025-NM-000460,内蒙古锡林郭勒源网荷储一体化40MW光伏项目,项目成员,宋艺涓
600,TZ-2025-NM-000460,内蒙古锡林郭勒源网荷储一体化40MW光伏项目,项目成员,覃鸿念
601,TZ-2025-NM-000460,内蒙古锡林郭勒源网荷储一体化40MW光伏项目,项目成员,史丹阳
602,TZ-2025-NM-000460,内蒙古锡林郭勒源网荷储一体化40MW光伏项目,项目成员,邱凯
603,TZ-2025-NM-000460,内蒙古锡林郭勒源网荷储一体化40MW光伏项目,项目成员,韩雷兴
604,TZ-2025-NM-600459,内蒙古锡林郭勒源网荷储400MW一体化项目,项目成员,张文睿
605,TZ-2025-NM-600459,内蒙古锡林郭勒源网荷储400MW一体化项目,项目成员,田扩
606,TZ-2024-XJ-000408,新疆哈密伊州骆驼圈子15MW分散式风电项目（并购）,项目经理,张文睿
607,TZ-2024-XJ-000407,新疆哈密伊州十三间房50MW风电项目,项目经理,张文睿
608,TZ-2025-NM-000466,内蒙古赤峰克什克腾旗500MW风电项目,项目成员,邹博文
609,TZ-2025-NM-000466,内蒙古赤峰克什克腾旗500MW风电项目,项目成员,朱静思
610,TZ-2025-NM-000466,内蒙古赤峰克什克腾旗500MW风电项目,项目成员,昝晓萌
611,TZ-2025-NM-000466,内蒙古赤峰克什克腾旗500MW风电项目,项目成员,杨雅婷
612,TZ-2025-NM-000466,内蒙古赤峰克什克腾旗500MW风电项目,项目成员,金铄
613,TZ-2025-NM-000466,内蒙古赤峰克什克腾旗500MW风电项目,项目成员,邢智全
614,TZ-2025-NM-000466,内蒙古赤峰克什克腾旗500MW风电项目,项目成员,宋艺涓
615,TZ-2025-NM-000466,内蒙古赤峰克什克腾旗500MW风电项目,项目成员,覃鸿念
616,TZ-2025-NM-000466,内蒙古赤峰克什克腾旗500MW风电项目,项目成员,马思远
617,TZ-2025-NM-000466,内蒙古赤峰克什克腾旗500MW风电项目,项目成员,贾璇
618,TZ-2025-NM-000466,内蒙古赤峰克什克腾旗500MW风电项目,项目成员,韩雷兴
619,TZ-2025-NM-000467,内蒙赤峰克什克腾旗风电制氢制氨项目,项目成员,邹博文
620,TZ-2025-NM-000467,内蒙赤峰克什克腾旗风电制氢制氨项目,项目成员,朱静思
621,TZ-2025-NM-000467,内蒙赤峰克什克腾旗风电制氢制氨项目,项目成员,昝晓萌
622,TZ-2025-NM-000467,内蒙赤峰克什克腾旗风电制氢制氨项目,项目成员,杨雅婷
623,TZ-2025-NM-000467,内蒙赤峰克什克腾旗风电制氢制氨项目,项目成员,金铄
624,TZ-2025-NM-000467,内蒙赤峰克什克腾旗风电制氢制氨项目,项目成员,邢智全
625,TZ-2025-NM-000467,内蒙赤峰克什克腾旗风电制氢制氨项目,项目成员,宋艺涓
626,TZ-2025-NM-000467,内蒙赤峰克什克腾旗风电制氢制氨项目,项目成员,覃鸿念
627,TZ-2025-NM-000467,内蒙赤峰克什克腾旗风电制氢制氨项目,项目成员,马思远
628,TZ-2025-NM-000467,内蒙赤峰克什克腾旗风电制氢制氨项目,项目成员,贾璇
629,TZ-2025-NM-000467,内蒙赤峰克什克腾旗风电制氢制氨项目,项目成员,韩雷兴
630,TZ-2009-FJ-000109,福建光泽凯圣24MW生物质项目,项目经理,巩思辰
631,TZ-2025-NM-000459,内蒙古锡林郭勒源网荷储一体化360MW风电项目,项目成员,郑辉
632,TZ-2025-NM-000460,内蒙古锡林郭勒源网荷储一体化40MW光伏项目,项目成员,郑辉
633,TZ-2025-NM-000467,内蒙赤峰克什克腾旗风电制氢制氨项目,项目成员,金铄
634,TZ-2025-NM-000466,内蒙古赤峰克什克腾旗500MW风电项目,项目成员,金铄
635,TZ-2025-NM-000459,内蒙古锡林郭勒源网荷储一体化360MW风电项目,项目成员,张文睿
636,TZ-2025-NM-000460,内蒙古锡林郭勒源网荷储一体化40MW光伏项目,项目成员,张文睿
637,TZ-2025-NM-000460,内蒙古锡林郭勒源网荷储一体化40MW光伏项目,项目成员,谭双琪
638,TZ-2025-NM-000459,内蒙古锡林郭勒源网荷储一体化360MW风电项目,项目成员,谭双琪
639,TZ-2025-NM-000467,内蒙赤峰克什克腾旗风电制氢制氨项目,项目成员,谭双琪
640,TZ-2025-NM-000466,内蒙古赤峰克什克腾旗500MW风电项目,项目成员,谭双琪
641,TZ-2025-NM-000459,内蒙古锡林郭勒源网荷储一体化360MW风电项目,项目成员,方晨
642,TZ-2025-NM-000460,内蒙古锡林郭勒源网荷储一体化40MW光伏项目,项目成员,方晨
643,TZ-2025-NM-000467,内蒙赤峰克什克腾旗风电制氢制氨项目,项目成员,方晨
644,TZ-2025-NM-000466,内蒙古赤峰克什克腾旗500MW风电项目,项目成员,方晨
645,-,内蒙古自治区包头市固阳县99MW风电项目,项目经理(主责),斯琴塔娜
646,TZ-2025-NM-000466,内蒙古赤峰克什克腾旗500MW风电项目,项目成员,刘曲
647,TZ-2025-NM-000467,内蒙赤峰克什克腾旗风电制氢制氨项目,项目成员,刘曲
648,TZ-2023-GD-600095,广东梅州粤智安流镇70MW+横陂镇57MW光伏项目,项目成员,郑辉
649,TZ-2023-GD-600095,广东梅州粤智安流镇70MW+横陂镇57MW光伏项目,项目成员,张建国
650,TZ-2017-SD-000068,山东夏津新盛100MW风电项目（二期）,项目经理,斯琴塔娜
651,TZ-2016-SD-600067,山东夏津田庄100MW+新盛100MW风电项目,项目经理,斯琴塔娜
652,TZ-2017-SD-000068,山东夏津新盛100MW风电项目（二期）,项目经理,张建国
653,TZ-2016-SD-600067,山东夏津田庄100MW+新盛100MW风电项目,项目经理,张建国
654,TZ-2016-SD-000067,山东夏津田庄100MW风电项目（一期）,项目经理,何莯晴
655,TZ-2017-SD-000068,山东夏津新盛100MW风电项目（二期）,项目经理,何莯晴
656,TZ-2023-JS-000089,江苏徐州睢宁一期13.2MW分散式风电项目,项目部(经理),何莯晴
657,TZ-2023-TJ-000121,天津汉沽悦通达44.48MW分散式风电项目,项目经理,巩思辰
658,TZ-2024-XJ-000407,新疆哈密伊州十三间房50MW风电项目,项目成员,柳琳
659,TZ-2025-NM-000467,内蒙赤峰克什克腾旗风电制氢制氨项目,项目经理,周博川
660,TZ-2025-NM-000466,内蒙古赤峰克什克腾旗500MW风电项目,项目经理,周博川
661,TZ-2025-NM-000467,内蒙赤峰克什克腾旗风电制氢制氨项目,项目经理,刘畅
662,TZ-2025-NM-000466,内蒙古赤峰克什克腾旗500MW风电项目,项目经理,刘畅
663,TZ-0000-AB-000000,黑龙江省大兴安岭地区加格达奇区199MW风电项目,项目经理,系统管理员
664,TZ-2023-JS-600101,江苏常州蜂巢14MW分布式光伏+2.8MW/9.03MWh储能项目,项目经理,何博宇
665,TZ-2023-JS-000339,江苏常州蜂巢2.8MW/9.03MWh储能项目,项目经理,何博宇
666,TZ-2023-JS-000101,江苏常州蜂巢14MW分布式光伏项目,项目经理,何博宇
667,-,西藏自治区林芝市米林县20MW分布式光伏项目,项目经理(主责),周博川
668,TZ-2021-LN-000085,辽宁法库依牛堡5.6MW分散式分风电项目,项目部(经理),母志远
669,TZ-2021-LN-000084,辽宁阜新东矿6.6MW分散式风电项目,项目部(经理),母志远
670,TZ-2023-LN-000233,辽宁灯塔东润36MW分散式风电项目,项目经理,张文睿
671,TZ-2024-XJ-000450,新疆哈密伊吾7000MW风电项目,项目成员,曲静
672,TZ-2024-JS-000372,江苏连云港连云区208MW光伏项目,项目成员,曲静
673,TZ-2023-HB-000105,湖北石首开奥50MW/100MWh储能项目,项目经理,王彩霞
674,TZ-2023-HB-000063,湖北公安狮子口100MW光伏项目,项目经理,王彩霞
675,-,广西壮族自治区贵港市桂平市150MW风电项目,项目经理(主责),屈姣姣
676,TZ-2025-HB-000468,河北邢台巨鹿200MW风电项目,项目经理(主责),李海燕
677,TZ-2025-XJ-000469,新疆哈密巴里坤哈萨克自治县500MW风电项目,项目经理(主责),郑雯婷
678,TZ-2025-XJ-000469,新疆哈密巴里坤哈萨克自治县500MW风电项目,项目经理(主责),黄世伟
679,TZ-2023-GD-000157,广东廉江阳泽180MW光伏项目,项目经理(主责),周博川
680,TZ-2025-NM-600466,内蒙赤峰克旗500MW氢氨风电一体化项目,项目成员,韩雷兴
681,TZ-2025-NM-000464,内蒙赤峰克旗1000MW保障性风电项目,项目成员,韩雷兴
682,TZ-2025-NM-000464,内蒙赤峰克旗1000MW保障性风电项目,项目成员,金铄
683,TZ-2025-NM-000464,内蒙赤峰克旗1000MW保障性风电项目,项目成员,金铄
684,TZ-2025-NM-000464,内蒙赤峰克旗1000MW保障性风电项目,项目成员,贾璇
685,TZ-2025-NM-000464,内蒙赤峰克旗1000MW保障性风电项目,项目成员,刘曲
686,TZ-2025-NM-600466,内蒙赤峰克旗500MW氢氨风电一体化项目,项目成员,刘曲
687,TZ-2025-NM-600466,内蒙赤峰克旗500MW氢氨风电一体化项目,项目成员,昝晓萌
688,TZ-2025-NM-600466,内蒙赤峰克旗500MW氢氨风电一体化项目,项目成员,宋艺涓
689,TZ-2025-NM-600466,内蒙赤峰克旗500MW氢氨风电一体化项目,项目成员,杨雅婷
690,TZ-2025-NM-600466,内蒙赤峰克旗500MW氢氨风电一体化项目,项目成员,谭双琪
691,TZ-2025-NM-000464,内蒙赤峰克旗1000MW保障性风电项目,项目成员,杨雅婷
692,TZ-2025-NM-000464,内蒙赤峰克旗1000MW保障性风电项目,项目成员,谭双琪
693,TZ-2025-NM-600466,内蒙赤峰克旗500MW氢氨风电一体化项目,项目成员,覃鸿念
694,TZ-2025-NM-600466,内蒙赤峰克旗500MW氢氨风电一体化项目,项目成员,朱静思
695,TZ-2025-NM-600466,内蒙赤峰克旗500MW氢氨风电一体化项目,项目成员,邹博文
696,TZ-2025-NM-600466,内蒙赤峰克旗500MW氢氨风电一体化项目,项目成员,方晨
697,TZ-2025-NM-600466,内蒙赤峰克旗500MW氢氨风电一体化项目,项目成员,马思远
698,TZ-2025-NM-600466,内蒙赤峰克旗500MW氢氨风电一体化项目,项目成员,邢智全
699,TZ-2025-NM-600466,内蒙赤峰克旗500MW氢氨风电一体化项目,项目成员,金铄
700,TZ-2025-NM-600466,内蒙赤峰克旗500MW氢氨风电一体化项目,项目成员,金铄
701,TZ-2025-NM-600466,内蒙赤峰克旗500MW氢氨风电一体化项目,项目成员,贾璇
702,TZ-2025-NM-000464,内蒙赤峰克旗1000MW保障性风电项目,项目成员,宋艺涓
703,TZ-2025-NM-000464,内蒙赤峰克旗1000MW保障性风电项目,项目成员,柳琳
704,TZ-2025-NM-000464,内蒙赤峰克旗1000MW保障性风电项目,项目成员,邹博文
705,TZ-2025-NM-000464,内蒙赤峰克旗1000MW保障性风电项目,项目成员,覃鸿念
706,TZ-2025-NM-000464,内蒙赤峰克旗1000MW保障性风电项目,项目成员,方晨
707,TZ-2025-NM-000464,内蒙赤峰克旗1000MW保障性风电项目,项目成员,马思远
708,TZ-2025-NM-000464,内蒙赤峰克旗1000MW保障性风电项目,项目成员,邢智全
709,TZ-2025-NM-000464,内蒙赤峰克旗1000MW保障性风电项目,项目成员,昝晓萌
710,TZ-2024-NM-000444,内蒙包铝懿晟200MW绿色供电风电项目,项目经理,张文睿
711,TZ-2017-LN-000012,辽宁沈阳机床36MW分布式光伏项目,项目部(经理),张禹凡
712,TZ-2017-LN-000012,辽宁沈阳机床36MW分布式光伏项目,项目部(经理),王国鑫
713,TZ-2017-LN-000013,辽宁北方重工30MW分布式光伏项目,项目部(成员),王国鑫
714,TZ-2024-NM-000444,内蒙包铝懿晟200MW绿色供电风电项目,项目成员,胡路路
715,TZ-2024-NM-000444,内蒙包铝懿晟200MW绿色供电风电项目,项目成员,张文睿
716,TZ-2023-XJ-000064,新疆乌鲁木齐机场11.6MW分布式光伏项目,项目部(成员),徐云平
717,TZ-2023-GD-000103,广东肇庆高要区20MW分布式光伏项目,项目部(成员),张禹凡
718,TZ-2023-GD-000355,广东化州杨梅80MW光伏项目,项目部(成员),王磊
719,TZ-2023-GD-000354,广东化州平定80MW光伏项目,项目部(成员),王磊
720,TZ-2022-GX-000088,广西贵港高传60MW风电项目,项目部(经理),姚冬冬
721,TZ-2023-LN-000233,辽宁灯塔东润36MW分散式风电项目,项目成员,曲静
722,TZ-2023-LN-000233,辽宁灯塔东润36MW分散式风电项目,项目经理,夏雄星
723,TZ-2023-GX-000110,广西罗城100MW光伏项目,项目部(经理),曲静
724,TZ-2023-GD-000155,广东梅州瑞轮11.89MW分布式光伏项目,项目部(经理),曲静
725,TZ-2023-GD-000154,广东梅州诺科11.94MW分布式光伏项目,项目部(经理),曲静
726,TZ-2024-GX-000382,广西来宾兴宾200MW分布式光伏项目,项目部(经理),曲静
727,TZ-2023-GD-000153,广东河源义容60MW光伏项目,项目部(经理),曲静
728,TZ-2023-GD-000148,广东开平月山150MW光伏项目,项目部(经理),曲静
729,TZ-2024-NM-000444,内蒙包铝懿晟200MW绿色供电风电项目,项目部(经理),曲静
730,TZ-2024-XJ-000407,新疆哈密伊州十三间房50MW风电项目,项目部(经理),曲静
731,TZ-2024-XJ-000408,新疆哈密伊州骆驼圈子15MW分散式风电项目（并购）,项目部(经理),曲静
732,TZ-2024-TJ-000418,天津宁河丰台南埋珠60MW集中式风电项目,项目部(经理),曲静
733,TZ-2023-GD-600095,广东梅州粤智安流镇70MW+横陂镇57MW光伏项目,项目经理,曲静
734,TZ-2023-GD-000096,广东梅州粤智横陂镇57MW光伏项目,项目经理,曲静
735,TZ-2023-GD-000095,广东梅州粤智安流镇70MW光伏项目,项目经理,曲静
736,TZ-2023-GD-000103,广东肇庆高要区20MW分布式光伏项目,项目经理,巩思辰
737,TZ-2023-GD-000102,广东肇庆高要区150MW光伏项目,项目经理,巩思辰
738,TZ-2023-TJ-000280,天津宁河丰台镇慧璟畅49.65MW风电项目,项目部(经理),胡禹铭
739,TZ-2024-SD-000417,山东滨州北海晟日100MW风电项目,项目部(经理),孙广岩
740,TZ-2023-GD-000158,广东廉江阳旭200MW光伏项目,项目部(经理),邱中全
741,TZ-2014-JS-000032,江苏金湖正辉100MW光伏项目,项目经理,付恬
742,TZ-2022-LN-000111,辽宁抚顺晶能100MW光伏项目,项目经理,付恬
743,TZ-2023-AH-000130,安徽亳州万事通100MW风电项目,项目经理,付恬
744,TZ-2018-SX-600025,山西寿阳里思100MW+建公100MW光伏项目,项目经理,付恬
745,TZ-2018-LN-000011,辽宁大连中车12MW分布式光伏项目,项目经理,付恬
746,TZ-2017-LN-000012,辽宁沈阳机床36MW分布式光伏项目,项目经理,付恬
747,TZ-2017-LN-000013,辽宁北方重工30MW分布式光伏项目,项目经理,付恬
748,TZ-2015-HE-000016,河北海兴小山50MW光伏项目,项目经理,付恬
749,TZ-2017-HE-000022,河北赤城雀沟20MW光伏项目,项目经理,付恬
750,TZ-2019-HE-000069,河北海兴丁北50MW风电项目,项目经理,付恬
751,TZ-2023-GX-000059,广西贵港南晶150MW光伏项目,项目经理,付恬
752,TZ-2023-SN-000267,陕西府谷润泽40MW分散式风电项目,项目经理,付恬
753,TZ-2018-SX-000025,山西寿阳里思100MW光伏项目（2#）,项目经理,付恬
754,TZ-2018-SX-000026,山西寿阳建公100MW光伏项目（4#）,项目经理,付恬
755,TZ-2018-GX-000040,广西蓝铁11.7MW分布式光伏项目,项目经理,付恬
756,TZ-2017-AH-000439,安徽蜡笔小新6MW分布式+万爱电器5.5MW光伏项目,项目经理,付恬
757,TZ-2019-SX-000440,山西平顺佛堂岭80MW+平顺国合170MW光伏领跑基地项目,项目经理,付恬
758,TZ-2025-ZJ-000453,浙江杭州余杭1000MW光伏项目,项目成员,柳琳
759,-,湖南省郴州市汝城县50MW风电项目,项目经理(主责),王阳阳
760,TZ-2023-HB-000105,湖北石首开奥50MW/100MWh储能项目,项目成员,王彩霞
761,TZ-2023-HB-000062,湖北石首团山寺70MW光伏项目,项目成员,王彩霞
762,TZ-2023-HB-000063,湖北公安狮子口100MW光伏项目,项目成员,王彩霞
763,TZ-2024-HN-000411,湖南常德柳叶湖80MW光伏项目,项目成员,胡玉杰
764,TZ-2024-HL-000431,油田甲醇发电替代项目,项目成员,杨雅婷
765,TZ-2024-HL-000431,油田甲醇发电替代项目,项目成员,谭双琪
766,TZ-2024-HL-000431,油田甲醇发电替代项目,项目成员,朱静思
767,TZ-2024-HL-000431,油田甲醇发电替代项目,项目成员,靳家佳
768,TZ-2024-XJ-000432,新疆昌吉木垒天润100MW风电项目,项目经理,黄宇鹏
769,TZ-2024-XJ-000432,新疆昌吉木垒天润100MW风电项目,项目经理,唐银平
770,TZ-2024-XJ-000432,新疆昌吉木垒天润100MW风电项目,项目经理,杨河
771,TZ-2024-XJ-000432,新疆昌吉木垒天润100MW风电项目,项目经理,于红兵
772,TZ-2024-XJ-000432,新疆昌吉木垒天润100MW风电项目,项目经理,昝晓萌
773,TZ-2024-XJ-000432,新疆昌吉木垒天润100MW风电项目,项目经理,杜香
774,TZ-2024-XJ-000432,新疆昌吉木垒天润100MW风电项目,项目经理,史晓兵
775,TZ-2024-XJ-000432,新疆昌吉木垒天润100MW风电项目,项目经理,李若白
776,TZ-2024-HL-000431,油田甲醇发电替代项目,项目成员,郑雯婷
777,TZ-2025-ZJ-000453,浙江杭州余杭1000MW光伏项目,项目成员,胡玉杰
778,TZ-2024-SD-000406,山东枣庄市中区75MW风电项目,项目经理,张文睿
779,TZ-2023-HA-000195,河南新乡原阳100MW风电项目,项目经理,张文睿
780,TZ-2023-HL-000113,黑龙江齐齐哈尔依安200MW风电项目,项目经理,张文睿
781,TZ-2024-HE-000373,河北承德丰宁100MW光伏项目,项目经理,张文睿
782,TZ-2023-GX-000162,广西贵港郁景100MW风电项目,项目经理,屈姣姣
783,TZ-2024-TJ-000391,天津环球磁卡综合能源项目,项目成员,罗超
784,TZ-2025-NM-000467,内蒙赤峰克什克腾旗风电制氢制氨项目,项目经理(主责),刘禹
785,TZ-2025-NM-000466,内蒙古赤峰克什克腾旗500MW风电项目,项目经理(主责),刘禹
786,TZ-2023-XJ-000350,新疆木垒大石头150MW风电项目,项目部(经理),何莯晴
787,TZ-2023-JS-000101,江苏常州蜂巢14MW分布式光伏项目,项目经理,何莯晴
788,TZ-2022-JS-000099,江苏溧阳紫宸14MW分布式光伏项目,项目部(经理),何莯晴
789,TZ-2017-HE-000022,河北赤城雀沟20MW光伏项目,项目部(经理),何莯晴
790,TZ-2018-SX-000026,山西寿阳建公100MW光伏项目（4#）,项目部(经理),何莯晴
791,TZ-2018-SX-000025,山西寿阳里思100MW光伏项目（2#）,项目部(经理),何莯晴
792,TZ-2023-JS-000339,江苏常州蜂巢2.8MW/9.03MWh储能项目,项目经理,何莯晴
793,TZ-2023-GX-000059,广西贵港南晶150MW光伏项目,项目部(经理),何莯晴
794,TZ-2018-LN-000011,辽宁大连中车12MW分布式光伏项目,项目部(经理),何莯晴
795,TZ-2023-GD-000103,广东肇庆高要区20MW分布式光伏项目,项目部(经理),何莯晴
796,TZ-2023-LN-000117,辽宁本溪福耀20MW分布式光伏项目,项目部(经理),何莯晴
797,TZ-2018-SX-600025,山西寿阳里思100MW+建公100MW光伏项目,项目部(经理),何莯晴
798,TZ-2023-GD-600095,广东梅州粤智安流镇70MW+横陂镇57MW光伏项目,项目部(经理),何莯晴
799,TZ-2022-HB-000054,湖北可口可乐3.369MW分布式光伏项目,项目部(经理),何莯晴
800,TZ-2020-JX-000041,江西抚州东乡二期50MW光伏项目,项目部(经理),何莯晴
801,TZ-2020-JX-000031,江西抚州东乡一期30MW光伏项目,项目部(经理),何莯晴
802,TZ-2023-XJ-000064,新疆乌鲁木齐机场11.6MW分布式光伏项目,项目部(经理),何莯晴
803,TZ-2023-TJ-000112,天津锦湖轮胎18MW分布式光伏项目,项目部(经理),何莯晴
804,TZ-2020-NX-000056,宁夏永宁国光100MW光伏项目,项目部(经理),何莯晴
805,TZ-2020-NX-000042,宁夏卫钢200MW光伏项目,项目部(经理),何莯晴
806,TZ-2020-SD-000030,山东枣庄昊源二期10MW光伏项目,项目部(经理),何莯晴
807,TZ-2018-SD-000029,山东枣庄昊源一期10MW光伏项目,项目部(经理),何莯晴
808,TZ-2023-HB-000063,湖北公安狮子口100MW光伏项目,项目部(经理),何莯晴
809,TZ-2023-HB-000104,湖北监利昌昊50MW/100MWh储能项目,项目部(经理),何莯晴
810,TZ-2022-HB-000060,湖北监利马嘶湖100MW光伏项目,项目部(经理),何莯晴
811,TZ-2023-HB-000062,湖北石首团山寺70MW光伏项目,项目部(经理),何莯晴
812,TZ-2023-HB-000105,湖北石首开奥50MW/100MWh储能项目,项目部(经理),何莯晴
813,TZ-2024-XZ-000376,西藏那曲色尼100MW光伏项目,项目部(经理),何莯晴
814,TZ-2022-SH-000066,上海浦东商飞二期6.4MW分布式光伏项目,项目经理,何莯晴
815,TZ-2023-JS-600089,江苏徐州睢宁13.2MW+19.8MW分散式风电项目,项目部(经理),何莯晴
816,TZ-2021-ZJ-000055,浙江中拓3.177MW分布式光伏项目,项目部(经理),何莯晴
817,TZ-2022-QH-000053,青海乌图美仁初开50MW光伏项目,项目部(经理),何莯晴
818,TZ-2023-JS-600101,江苏常州蜂巢14MW分布式光伏+2.8MW/9.03MWh储能项目,项目经理,何莯晴
819,TZ-2023-AH-000100,安徽马鞍山蜂巢6MW分布式光伏项目,项目经理,何莯晴
820,TZ-2016-SD-600067,山东夏津田庄100MW+新盛100MW风电项目,项目经理,何莯晴
821,TZ-2018-HL-000010,黑龙江安达昌德40MW光伏项目,项目部(经理),何莯晴
822,TZ-2023-TJ-000061,天津西青大寺镇诚开120MW光伏项目,项目部(经理),何莯晴
